name,line
giannakisftw,b'https://www.bazaraki.com/adv/2467629_traditional-house-at-kaimakli/'
giannakisftw,b'what do u mean?'
giannakisftw,b'It was how she got inpregnated'
giannakisftw,b'some of them giving some serius answers'
giannakisftw,b'luffy searching for  one piece?'
giannakisftw,b'oh wow how suprized this doctor is!!! oh!!!!!!'
giannakisftw,"b'not me , sorry'"
giannakisftw,b'y xD doesnt mean we begin righgt now!'
giannakisftw,b'asking ppl where she can find a specific single rock xD'
giannakisftw,b'<@&487203575655563265>'
giannakisftw,"b'Today she has  the waist 9f a belly dancer, tomorrow she has a waist of 9 month 0regnant woman'"
giannakisftw,b'\xf0\x9f\x98\x84'
giannakisftw,b'W8 what??? Really viagra is 6m old?? 0.o'
giannakisftw,b'now u r vomiting'
giannakisftw,b'back to the kitchen kourapie slave!!!! * snaps whip*'
giannakisftw,"b'i guess, his kit is very outrdated, to the point he is just weak :/'"
giannakisftw,b'maybe? \xf0\x9f\x98\x84'
giannakisftw,b'99999999999 points to con!'
giannakisftw,b'\xf0\x9f\x98\x9b'
giannakisftw,b'great*'
giannakisftw,b'Thats not how cell expansion works'
giannakisftw,b'https://media.discordapp.net/attachments/380135384564105227/647888228472455178/IMG_20191123_200932.jpg?width=884&height=663'
giannakisftw,"b'really? no one???? come on ppl, i offered FREE SNACKS!!!!'"
giannakisftw,b'lel'
giannakisftw,b'hm.... i wonder how di that fire happened .... xD'
giannakisftw,b'if shitty youtube algorithm suggest me an other * real doctor rect to cells at work * video'
giannakisftw,b'legit eksiasa oti ipirxe'
giannakisftw,b'omg con... u cant have that voice if u r not black.... eleos...'
giannakisftw,b'g(old)'
giannakisftw,"b'hey, whats wrong with eating mc donalds!?!?!?!'"
giannakisftw,"b'no worries, your favorite pharmacist will personally take care of u'"
giannakisftw,b'eh.....???'
giannakisftw,"b'Lol, i did? XD dont even remember that 0.o'"
giannakisftw,b'enjoy \xf0\x9f\x98\x9b'
giannakisftw,"b'A bit bussy atm, will check it later'"
giannakisftw,b'xD'
giannakisftw,b'https://tenor.com/view/lotr-lord-of-the-rings-theoden-king-of-rohan-you-have-no-power-here-gif-4952489'
giannakisftw,b'eh.... why specificly a lake? 0.o'
giannakisftw,b'No one *'
giannakisftw,"b'https://en.wikipedia.org/wiki/The_Turk meet the turk.  an automaton that it was constructed back at 1770- it was ment to be the first chess computer, but it was all an illusion. it was legit an empty box, a chess master would hide inside it, and play pretending its the machinery \xf0\x9f\x98\x9b'"
giannakisftw,"b'i picture jo whispering passive agressive things in your ear, and u get shivers and tingles from it xD'"
giannakisftw,b'a skinless palm of a hand'
